ubigeoCode,departament,province,district,populationCenter,description,length,latitude,altitude,population,livingPlace,timeMinutesToDistrictCapital,language,createdAt,updatedAt
,,,,ALTO PACHIRI,,,,,,,,,2023-06-22T18:12:28.414,2023-06-22T18:12:28.414
,,,,CAMPO VERDE,,,,,,,,,2023-06-23T18:12:28.414,2023-06-23T18:12:28.414
,,,,PUERTO UNION LAS PALMERAS,,,,,,,,,2023-06-24T18:12:28.414,2023-06-24T18:12:28.414
,,,,LOS ANGELES,,,,,,,,,2023-06-25T18:12:28.414,2023-06-25T18:12:28.414
,,,,PALOMAR,,,,,,,,,2023-06-26T18:12:28.414,2023-06-26T18:12:28.414
,,,,UNION ALTO SANIBENI,,,,,,,,,2023-06-27T18:12:28.414,2023-06-27T18:12:28.414
,,,,SAN LUIS,,,,,,,,,2023-06-28T18:12:28.414,2023-06-28T18:12:28.414
,,,,SAN JERONIMO,,,,,,,,,2023-06-29T18:12:28.414,2023-06-29T18:12:28.414
,,,,LA FLORIDA,,,,,,,,,2023-06-30T18:12:28.414,2023-06-30T18:12:28.414
,,,,CENTRO SANIVENI,,,,,,,,,2023-07-01T18:12:28.414,2023-07-01T18:12:28.414
,,,,OLLANTA,,,,,,,,,2023-07-02T18:12:28.414,2023-07-02T18:12:28.414
,,,,CIUDAD DE DIOS,,,,,,,,,2023-07-03T18:12:28.414,2023-07-03T18:12:28.414
,,,,SANTA ISABEL,,,,,,,,,2023-07-04T18:12:28.414,2023-07-04T18:12:28.414
,,,,SANTA MARIA,,,,,,,,,2023-07-05T18:12:28.414,2023-07-05T18:12:28.414
,,,,BUENOS AIRES,,,,,,,,,2023-07-06T18:12:28.414,2023-07-06T18:12:28.414
,,,,UNION DE MIRAFLORES,,,,,,,,,2023-07-07T18:12:28.414,2023-07-07T18:12:28.414
,,,,ALTO SHINTORIARI,,,,,,,,,2023-07-08T18:12:28.414,2023-07-08T18:12:28.414
,,,,ALTO SONOMORO,,,,,,,,,2023-07-09T18:12:28.414,2023-07-09T18:12:28.414
